id,text,sarcastic,rephrase,dialect,Texte_traduit
15,مبروك كسبت جايزة اوبل في الذكاء,1,انت غبي,nile,تهانينا ، فازت جيزا أوبل بالذكاء
16,هيورينا ايام اسود من قرن الخروب,1,هيورينا ايام صعبة وشديدة,nile,أيام هيورينا من قرن Carob
17,"فينجر طلب مني الخضوع لاختبار قبل ضمي للأرسنال، في البداية وافقت ثم أجبته كما يلي زلاتان لا يقوم بالاختبارات""  😂""",1,مدرب فريق ارسنال يطلب من اللاعب ابراهيموفيتش الدخول فى اختبارات قبل الانضمام لكنه يرفض,msa,"طلب مني فينغر الخضوع لإجراء اختبار قبل تعزيز أرسنال ، في البداية اتفقت ثم أجبته على النحو التالي على زلاتان ، لا يقوم بالاختبارات ""😂"""
18,فيه ٣ في القاهرة حابسين نفسهم في بيوتهم حد يقولهم ينزلوا علشان نكمل لمتنا.,1,القاهرة زحمة ومفيش اهتمام بالعزل المنزلي,nile,هناك 3 في القاهرة ، يرتديون أنفسهم في منازلهم ، ويقول لهم أحدهم ، سوف ينزلون لإكمال نحن.
19,لي قرا قرا بكري,1,خلص وقت الدراسة,magreb,لدي قارئ باكري
20,انا خايف أن بسبب الحظر أضطر اتفرج علي مسلسل نبيلة عبيد,1,أنا خايف بسبب الملل فى الحظر أعمل حاجات مش بحبها,msa,أخشى أنه بسبب الحظر ، يجب أن أشاهد سلسلة Nabila Obaid
21,يقولو بلي تكري فإيبيزا ولا فالسات تستقاملك كيف كيف كيما هدا لوتال,1,سعر الفندق غالي,magreb,يقولون ، أنا منفتح مرارًا وتكرارًا ، وليس ، وسوف تقوم بتصويبك ، كيف هذا ، مخلص
22,شهر سبتمبر عدى منها خمسة عشر يوم فى ثلاث ايام فقط ياريت كل الشهور تتعلم منه,1,شهر سبتمبر عدى بسرعة,nile,سبتمبر هو خمسة عشر يومًا فقط في ثلاثة أيام
23,الدنيا مترو والشمال كتروا,1,البنات الفاسقات كتروا فى المجتمع,nile,العالم مترو والشمال
24,بوتفليقة قالكم رايحين تعيشو في جنة,1,بوتفليقة قالكم رايحين تعيشو كي الملوك,magreb,أخبرتك Bouteflika أنك ستعيش في جنة
25,الجنرال شنقريحة شرا المباراة باه يلهي الشباب عن الحراك واضحة,1,سخرية من الناس اللذين يتهمون النظام بافتعال كل شيء بغرض الهاء الشارع,magreb,الجنرال شارسههه ، المباراة ، باها ، يصرف انتباه الشباب عن الحركة ،
26,ميزانية الفيلم ده ماتعديش التسعه جنيه ونص ويقولك ان السينما عندنا قويه ومصروف عليها,1,انتاج ضعيف وجوده رديئه للفيلم,nile,ميزانية هذا الفيلم ليست تسعة أرطال ونص ، وتقول أن السينما قوية ومتوقع لنا
27,تعالي كل مكرونا وانسي اللي حصل من ايفونا,1,هزيمة نادى الزمالك من الأهلى عندما احرز الهدف ماليك إيفونا,nile,تعال إلى كل المعكرونة وننسى ما حدث من Evona
28,تبدلني أنا 90 كيلو شحم ولحم بزوج كيلو بطاطا,1,تبدلني أنا بكل وزني بهذه النحيلة,magreb,أغيرني 90 كيلوغرامات من الدهون واللحوم مع كيلو من البطاطس
29,انا لو انخطفت وطلبوا ٥٠٠٠ ابويا هيقول اقتلوه اوفر,1,ابي لا يهتم بي ولا يريدني,nile,إذا تم اختطفي وطلبت 5000 من الوالدين ، فإنه سيقتله
30,ايه ياخد الريح من البلاط,1,انت ليس معك شئ قيم,nile,ما الذي يأخذ الريح من البلاط
31,ياريتنا افتكرنا ربع جنيه,1,ياريت كنت افتكرت اي حاجه حلوه,nile,أتمنى لو اعتقدنا ربع رطل
32,حوحو يشكر روحو,1,يزي ما تشكر في روحك,magreb,Houhou شكرا روهو
33,تونس باريس تذكرة بثمنين اورو الجزائر باريس تذكرة بسبعمية و خمسين وزيد تركب في طيارة شغل سوناكوم,1,سعر تذكرة غالي و نوعية الطائرة كانها باص زمان,magreb,تونس ، باريس ، تذكرة لمرة مرتين ، الجزائر ، الجزائر ، باريس ، تذكرة في الماضي ، الخمسين ، و زيد ، والتي تم تثبيتها في وظيفة Sonakum ،
34,ده حيتحفل عليه,1,ده حيتريقوا عليه جامد,nile,هذا سوف يحتفل به
35,اللى يشوف الفنانين من غير مكياج يلطم,1,الفنانين وحشين من غير مكياج,nile,من يرى فنانين بدون مكياج
36,الباب الي يجيلك منه الريح شيله وركب قبنوري,1,الي يعملك مشاكل شيله من حياتك,nile,باب
37,2019: كسول ومش مستفيدين منه حاجة 2020: مواطن واعي ومسؤول,1,تغير نظرة الحكومات و الناس عن الشخص اللي مبيتحركش من بيته بسبب الكورونا,nile,2019: كسول ولا يستفيد منه في حاجة 2020: مواطن واعي ومسؤول
38,هم يزعلون لازم ( تقدر ظروفهم ) انت تزعل عيب انت جدار شفيك نسيت,1,الست من حقها تزعل لكن الراجل مش من حقه,gulf,إنهم مستاءون (ظروفهم) أنت مستاء
39,في ناس بتاكل فاصوليا بالعيش الكيزر الله يرحم,1,ناس فقيرة بقه معاها فلوس  وبقت محدثة نعم ,nile,في الأشخاص الذين يأكلون الفاصوليا ليعيشوا الكاسار ، رحم الله
40,روح العب مع الاسد اللي هناك دا,1,بطل هري وكلام تافه,nile,لعب الروح مع الأسد الذي يوجد هذا
41,حتى المثل اتقلب دلوقتى ل امشى عدل يحتار عدوك و صديقك فيك,1,محدش بيحب الخير لحد,nile,حتى المثل ، انتقل الآن إلى العدالة ، عدوك وصديقك مرتبكون عنك
42,[ عندك سلـف ] : سؤال يثير الرعب في المجتمع ويؤدي الى قطع الأرحام والتفكك الاسري =)),1,لا أحد يريد أن يسلف أمواله لغيره ومستعد لقطع رحمه ولا يعطى أمواله لأحد,msa,[لديك سيف]: سؤال يثير الإرهاب في المجتمع ويؤدي إلى قطع من الرحم وتفكك الأسرة =))
43,من كتر فلوسك تسلف بنك,1,بتتكلم وكأنك معاك فلوس كتير وأنت معدوم,nile,من قطع أموالك ، يسبق البنك
44,فلان مقطع حصر الجامع,1,فلان لا يفارق المسجد,levant,كذا و كذا
45,داخل علمي رياضة وفاكر نفسه فيثاغورث,1,داخل علمي رياضة وهو غبي,nile,داخل رياضة الرياضة والتفكير في نفسه
46,كل يوم يعددي يثبت ان اسرائيل دي بلد شوربة واخدة قوتها فالإعلام وبس,1,اسرئيل مجرد فقاعة يتداولها الأعلام,nile,كل يوم ، أثبت أن إسرائيل بلد من الحساء وقوتها هي قوتها ، وبالتالي فإن وسائل الإعلام هي فقط
47,يا نهار ابيض ايه التور ده..محدش يلعب جنبه,1,ده لاعب قوى,nile,يا يوم أبيض ، ما هذا .. لا أحد يلعب جانبه
48,الناس لسه بتتجوز بردو لا حول والا قوة الا بالله ماحدش بيتعظ,1,يعنى الجواز كله مشاكل ماحدش بياخد عبره من الناس اللى قبله,nile,لا يزال الناس يتزوجون ، دون أي قوة أو قوة إلا مع الله ، لا أحد
49,اي حاجة باصي لميسي,1,روح لحد بيفهم,nile,أي حاجة للقيام ميسي
50,الاسعار نار .. الله ينور يا سيسي,1,الاسعار غالية جدا منك لله يا سيسي يا فاشل,nile,الأسعار هي النار .. الله ينير السيسي
51,الزمالك فريق فاشل وعشان مباره فازها شاف نفسه علينا,1,الزمالك فريق  فاشل ومغرور,nile,Zamalek هو فريق فاشل ، وكانت مباراة فازت بها.رأى نفسه
52,كلها مسلسلات الخطف ديه كفاية ضحك ع الناس,1,الداخلية تحاول ان تبيض وجهها ببطولات زائفة,nile,إنهم جميعا سلسلة اختطاف ، وهذا يكفي للضحك على الناس
53,شاهد ابو صلاح يحمل عجوز ويعبر بها الشارع الله على اخلاقك يا فخر العرب,1,سخريه من محمد صلاح والصاق امور خياليه به للسخريه ,nile,شاهد أبو صلاح يحمل رجلاً عجوزًا ويعبر الشارع عن أخلاقك ، يا عرب فخر
54,القوالب نامت والنصاص قامت عجيبه,1,اى ان الناس عديمه القيمه هى الظاهر فى المجتمع,nile,نمت القوالب وارتفعت اللقطة
55,فاكر نفسك نجيب محفوظ دا انت اخرك بتاع لبوس وبتشير علي البلوتوث 😒,1,فاكر نفسك نجيب محفوظ ده أنت مبتفهمش حاجة,nile,فكر في نفسك ، Naguib Mahfouz ، أنت آخر منكم ، لدي رئيس ، وأشير إلى Bluetooth
56,فعلا قال علمنى الهيافة قاله تعالى فى الهايفة واتصدر,1,التافه يتصدر في الأمر التافه,nile,في الواقع ، قال ، الهايزي ، قال سبحانه وتعالى في هوفاه وأنا في القمة
57,ذهب ليشتري حذاء فوجد الناس بدون رجلين ههههههههههههههههههههههههههههههههههههههههه,1,حالته أفضل من حالة الناس رغم فقره فهو أفضل منهم حالا,magreb,ذهب لشراء الأحذية ووجد أشخاصًا بدون رجلين هههههههههههه
58,شامم ريحه مؤامره,1,اشتباه بوجود مؤامره,nile,شام
59,هوا أحنا دخلنا النار,1,الجو حر أوى,nile,دخلنا النار
60,هل تعلم ان البنت القصيرة ربنا عوضها في لسانها,1,دايما البنات لسانها طويل وخصوصا البنت القصيرة,nile,هل تعلم أن الفتاة القصيرة ربنا تعويضها في لسانها
61,مرايه الحب عمياء,1,ان المحب لايرى اى عيوب فى من يحب,nile,الحب الدائم
62,احنا غلابه بس ساعة الشر بنتغابى,1,احنا ناس طيبة مش بتاعت مشاكل بس وقت لما حد يدوسلنا علي طرف مش بنسيبه,nile,نحن واحد من شر الشر
63,عندما تفقد الاحا قدرتها على التعبير لابد ان ياتي الشخير طوابير,1,لا تكفي صيحات الاحتجاج بل لابد من احتجاج اقوى,nile,عندما تفقد قدرتها على التعبير ، يجب أن يأتي الشخير
64,انت ايه يابني كانو بيرضعوك تلج وانت صغير,1,أنت تتصرف ببرود شديد ,nile,ما أنت ، ابني.
65,ماتش صعب ايه بس ده الفرقه كانت بتقابل نفسها,1,ماتش سهل امام منافس ضعيف,nile,ما هو صعب ، لكن هذا الفريق كان يجتمع نفسه
66,ياخبر النهارده بفلوس بكره يبقى ببلاش,1,اى ان ما استعجلت عليه وتريد دفع فيه المال بالصبر يمكن ان يكون مجانا,nile,يروي اليوم عن الأموال المجانية ، يبقى مجانًا
67,أنت ترجع الغيط !,1,واحد في مكان مش مناسب له,nile,انت تعال هنا!
68,وجهها مثل الركبة و تقول تحرش 😂.,1,هى قبيحة ومحدش هيتحرش بها,gulf,وجهها مثل الركبة ويقول المضايقات 😂.
69,كده كده يا زمالك الدوري في الجزيره 	 عامل فيها بطل وهو بتاع بليله,1,ان الزمالك فريق ضعيف لا يجيد المنافسه,nile,هذا ، هكذا ، زاماليك ، الدوري في الجزيرة
70,العيش والملح بتاعكوا عملت غسيل معدة ورجعتوا,1,مستغني عن عشرتكو,nile,معيشة
71,عضو مجلس شعب عامل زي المعلقة الخشب لا بتجيب ولا بيودي,1,عضو مجلس شعب ليس له فائدة ولايصلح لاي شيء,nile,عضو في جمعية الناس ، عامل ، زي معلق الخشب ، وليس الرد أو البيولوجي
72,هاي السنة فش احلى منها 🤯😂,1,هاي السنة مش حلوة,levant,مرحبًا ، إنه أفضل منها 🤯😂
73,حسيتوا بالزلزال ولا مبقيتوش تحسوا بالحاجات الضغيرة دى,1,حسيتوا بالزلزال ولا لأ,nile,شعرت بالأرض
74,انتا عايش في الالالاند ولا ايه,1,أنت مش فاهم حاجة,nile,أنت تعيش في أنداند أو ماذا
75,يا الف بركة يا ريت متقرفوناش تانى بقى,1,لا تشغلونا بأخبار تافهه,nile,يا ألف نعمة ، أتمنى أن تبقى مرة أخرى
76,لسانك حصانك صنه,1,اللسان هو الذى يحفظ للإنسان كرامتك وما تقوله هو ما يحفظ أو يهدر كرامتك,msa,لسانك هو حصانك
77,السعودية : لا أعرفه ، لذا لن أضيفه .المصرية :ايه ده نفس كليتي ، يبقى لازم أقبله ، أنا نقطة ضعفي زملاء الدراسة,1,ان المصريين بيضيفوا ناس كتير على مواقع التواصل,nile,المملكة العربية السعودية: لا أعرفه ، لذلك لن أضيفها.المصري: ما هو نفس كليتي؟
78,الدنيا عامله زى الراقصة اللى رقصت للناس كلها وجات عندى أنا وتابت,1,الدنيا بتضحك للناس كلها وتيجى عندى أنا واقفة بابها فى وجهى,nile,العالم عام
79,المانجا النعومي مفيش زيها ابدا,1,المانجا النعومى طعمها وحش أوى,nile,المانجا al -naumi لا يحبها أبدًا
80,يا خارجة من باب الحمام وكل خد عليه خوخة,1,يا متجوزة وخدك مكسوف,nile,o خارج باب الحمام ، وكل خد عليه هو خوخا
81,لاتبتسم لطفل في الطائرة إلا إذا كنت تنوي قضاء الرحلة في ملاعبته .,1,الطفل اذا بقيت معاه لازم تلبي رغباته,msa,لا تبتسم لطفل على متن الطائرة إلا إذا كنت تنوي قضاء الرحلة في لاعبيه.
82,انتي فاكرة نفسك .ست,1,انتي فاكرة نفسك حلوة,nile,تعتقد نفسك
83,الحيطان لها ودان,1,احذر من الحديث عن شئ خطر فحتي لو كنت في مكان مغلق يمكن ان تنكشف,nile,الجدران هي هي ودان
84,لما تخلص المصالح الحلو يبقى مالح,1,ان لما الخسيس ياخد مصلحته بينسي الحلو وميفتكرلكش حاجة,nile,عندما يتم حفظ المصالح الحلوة ، يبقى مالحًا
85,اللي عاجبه عاجبه واللي ما هو عاجبه ينتف حواجبه,1,ان منبصش لاراء الناس اللي يعجبه افعالك يبقي تمام واللي مش عجبه يبقي يتفلق,nile,من هو عاجل ، وما هو عاجل هو حواجبه
86,ضحكولو تمد على طولو  هههههههههههه,1,تمادى إلى حد مقرف,magreb,يمتد الضحك إلى طول هههههههههههههههههههههههههه
87,علشان حته بطيخ عمل مشكله وصريخ,1,اى ان الموضوع تافه لا يستحق كل هذا الكلام,nile,لأنها مشكلة في مشكلة ومشكلة
88,يا عينى على الحلو لما تبهدله الايام,1,ايه اللى بهدلك كده,nile,يا عيني على الحلو عندما تضيع الأيام
89,واحد قال لمو بغيت نتزوج بوحدة بيضاء وطويلة وخدامة قالت له خد الثلاجة,1,المواصفات لي بغا فالزوجة كينين غير فالتلاجة,magreb,قال أحدهم لـ Mo ، أردت أن أتزوج من وحدة بيضاء وطويلة وأخبره خد الخد بخد الثلاجة
90,بحب العسل بس النحل بيقرص,1,الوصول للهدف صعب ولكن تحقيقه شئ ممتع,nile,أنا أحب العسل ، لكن النحل مجفف
91,اجمل حاجه للكره المصريه فى ٢٠٢١ ان البدرى انزاح يا ساتر كابوس,1,حسام البدري افشل مدرب لمنتخب مصر,nile,أجمل شيء بالنسبة للكراهية المصرية في عام 2021 هو أن البادرات كانت مهزلة ، ساحة ، كابوس
92,الشعر عنوان جمال المراه وهي جوابها باين من عنوانه,1,شعرها مش حلو,nile,الشعر هو عنوان جمال المرأة ، وهو إجابته ، الصنوبر من عنوانه
93,من قير كوكا لا تحدثني عل قاز هذا راه بيت شعري,1,كوكاكولا أفضل مشروب,magreb,من Qir Koka ، لا تتحدث معي حول هذا ، هذا هو بيت شعري
94,روح يا راجل شوفلك حته ناشفة اقعد فيها,1,امشى اقعد بعيد عنا,nile,الروح ، يا رجل ، أراك ، جفها
95,السبع جاب السبوعة,1,خارج عن ابوك,magreb,أعطى السبعة سبعين
96,دا سايق بسرعة جدا فاكر نفسه طيار,1,سريع جدا,nile,Daei بسرعة كبيرة ، أعتقد أنه طيار
97,منين ممثله محترمه ومنين ربنا يتوب عليها من التمثيل (المحترم )!!,1,ربنا يتوب على الممثلة دى من التمثيل كان التمثيل ذنب يجب التوبه منة,nile,أين ممثلة محترمة ، ومن ربنا يتوب من التمثيل (محترم) !!
98,لما تحفظ اغنيه وتمشى تغنيها فى البيت واهلك بقولك ده لو المنهج مكنش تحفظة كده,1,ياريت تحفظ دروسك زى ما بتحفظ الأغانى كده,nile,عندما تحتفظ بأغنية وتمشي في المنزل ، وعائلتك ، إذا قلت هذا ، إذا لم يكن المنهج بمثابة حفظ مثل هذا
99,بكره هتكون زي شكوش وحمو نمره كلهم بداو كدا وهيتكون عندك لامبرجيني,1,طالما هايف هتنجح,nile,أكره أن تكون زي Shukoush وتحمي نمره ، كل شيء
100,الله عليك يا بلاص المفهوميه,1,انت غبي,nile,الله عليك ، مفهوم
101,اللي على قلبه مراوح ما بشوف هيك ولا هيك,1,البارد مش بيهمه شئ,nile,أولئك الذين هم في قلبه من المعجبين ، ولن أرى هيك أو هيك
102,فاكرة نفسها اينشتاين وراحة تخش علمي علوم,1,هي مش ذكية,nile,نفس التفكير هو أينشتاين وراحة خائفة من العلم
103,نجحت ف الثانويه العامه بالزق وعامله فيها دكتوره,1,دي فاشله,msa,نجحت المدرسة الثانوية في المسيل للدموع وعملها طبيب
104,اخد ابن عمى واتغطى بكمى,1,أتجوز براجل طيب أعرفه أحسن من راجل غنى وطبعه وحش,nile,خذ عمي وغطاء ج
105,أسمع كلامك أصدقك أشوف أمورك أستعجب,1,انك تتحدث ولا تفعل,nile,أسمع كلماتك ، أعتقد أنك ، أرى شؤونك ، فوجئت
106,عامل فيها بطل وهو بتاع بليله,1,غلبان في حاله وعامل فيها شجاع,nile,عامل فيه بطل بينما كان في ليلته
107,الناس بتشتري لب ولا اكننا في العيد مش في اعصار,1,الناس بتشتري لب وسوداني وفي وقت المشكله دلوقت,nile,يشتري الناس نواة ، ونحن لسنا في عيد ، وليس في إعصار
108,شفت دي آخرة اللي يجي علي الولاية,1,اللي بيظلم واحدة ست نهايته وحشة,nile,رأيت بعد ظهر هذا اليوم إلى الدولة
109,الديك الفصيح فى البيضه بيصيح,1,ان الذكاء بيظهر من الصغر,msa,يصرخ الديك البليغ في البيض
110,شابو للي بيتسحر زبادي وبينام,1,شاطر اللى بيتعشا عشا خفيف,nile,الشامبو الذي سحر الزبادي والنوم
111,ولسا حضرتك ياما تشوف انبهارات,1,فاكر نفسه عالم وهو لسا علي خبره قليله,nile,وكيف حالك يا ياما ، سترى سحر
112,داااااااااك الزين تقوول مارادونا,1,انتا بشع,magreb,daaaaaaaaak al -zain يقول مارادونا
113,السنه الدراسيه الجديده هتبتدي والامهات كلها مبسوطه وابناؤهم,1,السنه الدراسيه هتبتدي والطلاب والامهات مش مبسوطين خالص,nile,ستبدأ العام الدراسي الجديد وجميع الأمهات سعداء وأطفالهن
114,صفر /عشرة كتير لو فريق من درجة ثالثة كان لعب احسن منهم,1,ده فريق فاشل واتهزم هزيمة كبيرة ,nile,Zero /Ten كثيرًا ، إذا كان فريق Third -Debree قد لعب بشكل أفضل منهم
115,البنت اللي تركت حبيبها صار عندها الX .. بقي ناقصها الايفون,1,البنت اللي تركت حبيبها صار عندها حبيب سابق,levant,أصبحت الفتاة التي تركت صديقها X .. ظلت iPhone غير مكتملة
116,سبحان العاطى الوهاب من بعد الشبشب والاوبئاب,1,بعد الفقر والفاقة جاء الغني والمال,nile,بريق
117,وانت بقي فيلسوف عصرك؟ ماتنقطنا بسكاتك!,1,انت ولا فاهم حاجة يبقي تسكت احسن,nile,وبقيت فيلسوف وقتك؟ لم نسقط صمتك!
118,الواحد بيفكر نفسه حويط وكتوم لحد ما بيلاقى 50 أو 60 بنى ادم بيسالوه عن موضوعه,1,أنا بحكى لكل الناس كل أسرارنى ,nile,الشخص يعتقد نفسه من هوويت وكوتوم إلى حد ما أنه يلتقي 50 أو 60 ، آدم بيسالوه ، حول موضوعه
119,الغاوى بنقط بطاقيته,1,أذا كنت تحب شئ وتغوى قربه عليك دفع ماتملكه وتدخره لتناله,nile,Gawei مع نقاط البطاقة الخاصة به
120,الناس كلها خير 🙃,1,الناس ما فيها خير,levant,كل الناس جيدون 🙃
121,كل ما أشوف صورتي في البطاقة أقول مش مهم الجمال المهم الأخلاق,1,شكلى وحش أوى فى البطاقة,nile,كل ما أرى صورتي في البطاقة ، أقول إنها ليست مهمة.الجمال المهم هو الأخلاق
122,محمد رمضان أخذ الدكتوراة الفخرية يالا سخرية القدر,1,محمد رمضان اخد دكتوراة لا يستحقها,msa,حصل محمد رمضان على درجة الدكتوراه الفخرية
123,زي ما رحتي زي ما جيتي,1,يعني عملك للشىء مثل عدم عمله ولا فائدة منه,nile,مثل ما ذهبت ، كما لم تأت
124,هى الفلوس اللى اديتهالك خلصت؟! -على حسب هتدينى غيرها ولا هتتخانق معايا🙂,1,مش هجاوبك على سؤال الفلوس خلصت ولا لأ إلا لما تقولى بتسأل ليه,nile,إنه المال الذي قمت به؟!-وفقًا لك ، لن تعاني مني ، ولن تخنق معي
125,محمد صلاح لديه خياشيم ويتنفس تحت الماء,1,محمد صلاح شخص خارق,msa,محمد صلاح لديه الخياشيم ويتنفس تحت الماء
126,قالوا للحرامي احلف قال جاك الفرج,1,اللص لا يمين له,nile,قالوا للهارامي ، أقسم ، جاك الفاراج
127,الإسماعيلى بيلعب بالمدربين وعمال النادى,1,الإسماعيلى ماعندوش لعيبة,nile,إسماعيلي يلعب المدربين وعمال النادي
128,اكبر خطر يهدد الانسان في هذه الدنيا هو الانسان,1,ان الناس خطر علي بعضهم,nile,أكبر خطر يهدد الشخص في هذا العالم هو الرجل
129,كسم الضحك,1,حاجة تضحك جدا,nile,اسم الضحك
130,نادي الزمالك نادي الوطنية والكرامة,1,نادي الزمالك بلا كرامة,msa,نادي وكرامة نادي زاماليك
131,لأول مرة الصين ناس ملاح صنعو المرض و اللقاح,1,الصين هوما سبب المرض و مع التالي صنعو اللقاح باش يربحو الدراهم,magreb,لأول مرة أصدرت شركة Navigator شعب الصين المرض واللقاح
132,والواد ده عبقرينو بجد,1,ذكى جدا,nile,ووادي هذا صعب للغاية
133,الى يعوزه البيت يحرم على الجامع,1,اى ان جمع الضراب حرام فى حاله الفقر,nile,لافتقاره إلى المنزل ، يحظر على المسجد
134,ظهرت معزاز كبير,1,شاطر في الغمل,magreb,بدا مازازال رائعا
135,هي اللي فالصوره دي عامله مظاهره عشان تتجوز ياخي من بختنا الأسود,1,بنات لبنان القمرات عندهم عنوسة وعندنا الفتيات يتمنعن,nile,هذا هو الشخص الذي هو مظهر من مظاهر الزواج من أخي من قسمنا الأسود
136,البيت ده طاهر وهيفضل طول عمره طاهر,1,رقاصة بتتكلم ان بيتها طاهر,nile,هذا المنزل نقي ، وسوف يفضل طول عمره
137,تعويره الوش مفيهاش معلش,1,عند قصد الضرر لا يوجد سماح,nile,الغسيل ، لا توجد مشكلة
138,ياعم انت فاكرني جدو اول ما انزل هجيب جون,1,التشبه باللاعيب المصري جدو لانه كل ما ينزل الملعب يحرز هدف,nile,مرحبًا ، أنت تفكر في المرة الأولى التي كنت آتي فيها إلى جون
139,دا انت هزارك عسل,1,انت هزارك بايخ,nile,هذا هو عسلك
140,اعطي الريح لرجليك,1,اهرب عن وجهي,magreb,امنح الريح لرجالك
141,السوشيال قربت كل العالم من بعضه الا العرب فرقتهم,1,العرب بيتخانقوا على السوشيال ميديا بدل ما تقربهم من بعض,nile,جلبت الاجتماعية كل العالم إلى بعضهم البعض باستثناء العرب ، انقسامهم
142,و جاي علي نفسك و صاحي بدري أوي كده ليه,1,قايم من النوم متأخر جدا,nile,وتأتي إلى نفسك واستيقظ عليك فلماذا
143,مبقاش عندى خلق اكحلها أنا حاليا يعميها على طول,1,معنديش صبر والا خلق انى تداوى الأمور أنا بقيت بعديها على طول,nile,لست مضطرًا لإنشائها ، أنا أعمى حاليًا
144,كوكب اليابان ❤️ حد يجيب مجلس الوزارء يفرجهم ع الموسم ده,1,نظام و دقة دولة اليابان,nile,كوكب اليابان ❤ أي شخص يجيب على مجلس الوزراء يطلقه لهذا الموسم
145,ماشاء الله عليكوا بتقنعونا كل مدى ان اللقاحات زي عدمها شابوه بجد,1,مفيش مصداقية فى فعالية اللقاحات,nile,بارك الله فيك ، لإقناعنا بكل مدى أن اللقاحات لا تشبه أن تكون صغيرا جدا
146,ده فاكر نفسه احمد زويل ههههههههه,1,هوفاكر أنه ذكى وهو مش فاهم حاجة,nile,هذا يعتقد نفسه أحمد زويل هاهاها
147,خلي بالك يا ريس المرة دي التالته تابته,1,اخر فرصة ليك,nile,ابق ، أنت ، في المرة القادمة ، التالية
148,بيقولك مصر فيها اتنين طه حسين عميد الادب ومرتضى عميد قلة الادب,1,مرتضى سئ الادب,nile,تخبرك مصر أن اثنين من طه حسين ، عميد الأدب وموردا ، عميد عدم وجود الأدب
149,مبولحي اذا دوش تسما راهو يبذر فالماء,1, الفريق الخصم ضعيف امام منختب الجزائر,magreb,Mbulhi ، إذا كان الدش يسمى Raho ، يزرع في الماء
150,اطفي نور الأوضة وولع شمعة هتلاقي خيالك فضفض معاه,1,الملل من الأغلاق اللي الناس بتعاني منه,nile,قم بإيقاف تشغيل ضوء الأزياء وعقلانية بشمعة ، ستجد خيالك ، وتهزها بها
151,اللي مستني امل قوله أمل اتمسكت علي الدائري,1,مفيش أى أمل فى أى حاجة,nile,من أتمنى أن أكون آمل أن أحصل على الخاتم
